Catégorie : Toutes catégories

Zone de diffusion,le covid: (29/01/2020 – 29/01/2025),la covid: (29/01/2020 – 29/01/2025)
Sarthe,70 %,30 %
Jura,75 %,25 %
Haute-Loire,63 %,37 %
Cantal,60 %,40 %
Seine-Maritime,70 %,30 %
Cher,67 %,33 %
Meuse,72 %,28 %
Ardèche,64 %,36 %
Saône-et-Loire,68 %,32 %
Lot,61 %,39 %
Côtes-d'Armor,67 %,33 %
Eure-et-Loir,65 %,35 %
Vendée,48 %,52 %
Tarn,62 %,38 %
Alpes-de-Haute-Provence,65 %,35 %
Gard,64 %,36 %
Corrèze,56 %,44 %
Mayenne,57 %,43 %
Hautes-Alpes,65 %,35 %
Loir-et-Cher,61 %,39 %
Loire,62 %,38 %
Finistère,65 %,35 %
Haute-Vienne,62 %,38 %
Orne,62 %,38 %
Yvelines,60 %,40 %
Hérault,63 %,37 %
Var,55 %,45 %
Allier,59 %,41 %
Nièvre,60 %,40 %
Pyrénées-Orientales,61 %,39 %
Aveyron,60 %,40 %
Indre,61 %,39 %
Puy-de-Dôme,60 %,40 %
Haute-Saône,67 %,33 %
Gers,62 %,38 %
Drôme,62 %,38 %
Lot-et-Garonne,62 %,38 %
Ain,62 %,38 %
Bouches-du-Rhône,58 %,42 %
Vaucluse,62 %,38 %
Lozère,60 %,40 %
Vienne,55 %,45 %
Morbihan,62 %,38 %
Pyrénées-Atlantiques,62 %,38 %
Seine-et-Marne,64 %,36 %
Gironde,59 %,41 %
Manche,55 %,45 %
Deux-Sèvres,61 %,39 %
Eure,63 %,37 %
Haute-Corse,66 %,34 %
Maine-et-Loire,56 %,44 %
Haute-Marne,67 %,33 %
Hautes-Pyrénées,59 %,41 %
Pas-de-Calais,62 %,38 %
Aisne,67 %,33 %
Val-de-Marne,63 %,37 %
Indre-et-Loire,62 %,38 %
Rhône,62 %,38 %
Dordogne,59 %,41 %
Charente-Maritime,40 %,60 %
Loiret,55 %,45 %
Yonne,66 %,34 %
Oise,64 %,36 %
Isère,59 %,41 %
Moselle,64 %,36 %
Côte-d'Or,64 %,36 %
Nord,62 %,38 %
Ariège,53 %,47 %
Ardennes,65 %,35 %
Doubs,64 %,36 %
Aube,63 %,37 %
Essonne,61 %,39 %
Meurthe-et-Moselle,65 %,35 %
Savoie,62 %,38 %
Haute-Savoie,57 %,43 %
Calvados,62 %,38 %
Marne,64 %,36 %
Ille-et-Vilaine,61 %,39 %
Tarn-et-Garonne,59 %,41 %
Vosges,64 %,36 %
Alpes-Maritimes,61 %,39 %
Val-d'Oise,61 %,39 %
Corse-du-Sud,62 %,38 %
Loire-Atlantique,53 %,47 %
Haut-Rhin,64 %,36 %
Aude,58 %,42 %
Territoire de Belfort,64 %,36 %
Paris,58 %,42 %
Landes,60 %,40 %
Haute-Garonne,58 %,42 %
Hauts-de-Seine,58 %,42 %
Bas-Rhin,62 %,38 %
Charente,57 %,43 %
Seine-Saint-Denis,63 %,37 %
Somme,63 %,37 %
Creuse,52 %,48 %
