Catégorie : Toutes catégories

Ville,le covid: (02/02/2020 – 02/02/2025),la covid: (02/02/2020 – 02/02/2025),un covid: (02/02/2020 – 02/02/2025),une covid: (02/02/2020 – 02/02/2025)
Le Mans,75 %,16 %,6 %,3 %
Octeville-sur-Mer,100 %,,,
Arnage,100 %,,,
Changé,75 %,25 %,,
Le Havre,77 %,14 %,6 %,3 %
Nogent-le-Rotrou,100 %,,,
Lons-le-Saunier,81 %,19 %,,
Mulsanne,76 %,24 %,,
Harfleur,100 %,,,
Le Croisic,63 %,37 %,,
La Ferrière,35 %,65 %,,
Bar-le-Duc,78 %,22 %,,
Rouillon,100 %,,,
Le Beausset,72 %,28 %,,
La Baule-Escoublac,33 %,59 %,8 %,
Sargé-lès-le-Mans,100 %,,,
Le Coteau,100 %,,,
Le Creusot,77 %,23 %,,
Le Cannet-des-Maures,100 %,,,
Le Cateau-Cambrésis,100 %,,,
Fontenay-le-Comte,74 %,26 %,,
Le Puy-en-Velay,66 %,27 %,7 %,
Auch,52 %,39 %,9 %,
Le Pradet,61 %,39 %,,
La Londe-les-Maures,38 %,62 %,,
Le Poiré-sur-Vie,41 %,59 %,,
La Flèche,43 %,57 %,,
Le Château-d'Olonne,53 %,47 %,,
Paray-le-Monial,76 %,24 %,,
Gonfreville-l'Orcher,100 %,,,
La Suze-sur-Sarthe,51 %,49 %,,
Marly-le-Roi,69 %,31 %,,
Le Blanc-Mesnil,58 %,31 %,11 %,
Sausset-les-Pins,64 %,36 %,,
Le Castellet,100 %,,,
Le Luc,73 %,27 %,,
Voisins-le-Bretonneux,100 %,,,
Vitry-le-François,75 %,25 %,,
Le Lavandou,67 %,33 %,,
Le Touquet-Paris-Plage,73 %,27 %,,
Montigny-le-Bretonneux,66 %,24 %,10 %,
Le Vésinet,58 %,32 %,10 %,
La Milesse,100 %,,,
La Ferté-Bernard,48 %,52 %,,
Noisy-le-Grand,65 %,25 %,10 %,
Le Thor,66 %,34 %,,
Le Perreux-sur-Marne,63 %,26 %,11 %,
Le Crès,69 %,31 %,,
Le Perray-en-Yvelines,71 %,29 %,,
Castelnau-le-Lez,72 %,28 %,,
Sucy-en-Brie,56 %,38 %,,6 %
Villiers-Saint-Frédéric,100 %,,,
Le Plessis-Trévise,75 %,25 %,,
Le Cannet,61 %,28 %,11 %,
Le Chesnay,65 %,30 %,,5 %
Jacou,100 %,,,
La Farlède,43 %,57 %,,
Notre-Dame-de-Gravenchon,100 %,,,
Olonne-sur-Mer,55 %,45 %,,
Benet,100 %,,,
Fontenay-le-Fleury,100 %,,,
Couzeix,68 %,32 %,,
Pourrières,64 %,36 %,,
Guidel,65 %,35 %,,
Le Boulou,100 %,,,
La Valette-du-Var,41 %,51 %,8 %,
Le Rheu,71 %,29 %,,
Caudry,71 %,29 %,,
Hyères,49 %,41 %,10 %,
Carqueiranne,58 %,42 %,,
Choisy-le-Roi,62 %,26 %,8 %,4 %
Savigny-le-Temple,60 %,26 %,9 %,5 %
Lavaur,62 %,38 %,,
Saint-Cyr-sur-Mer,54 %,46 %,,
L'Étang-la-Ville,51 %,49 %,,
Le Grau-du-Roi,58 %,31 %,11 %,
Saint-Doulchard,100 %,,,
Le Pontet,71 %,29 %,,
Blanzy,100 %,,,
Onet-le-Château,65 %,35 %,,
Bandol,61 %,39 %,,
Lentilly,100 %,,,
Herbignac,53 %,47 %,,
Marnes-la-Coquette,62 %,38 %,,
Verrières-le-Buisson,70 %,30 %,,
Vezin-le-Coquet,100 %,,,
Panazol,63 %,37 %,,
Vif,65 %,35 %,,
Magny-le-Hongre,71 %,29 %,,
Le Muy,74 %,26 %,,
Saint-Denis-en-Val,52 %,48 %,,
Saint-Avé,100 %,,,
Marvejols,100 %,,,
Le Plessis-Robinson,67 %,33 %,,
Villeneuve-lès-Avignon,64 %,36 %,,
Vaux-le-Pénil,68 %,32 %,,
Estillac,65 %,35 %,,
Lempdes,100 %,,,
Acigné,100 %,,,
Firminy,59 %,41 %,,
Port-de-Bouc,67 %,33 %,,
Le Bouscat,64 %,36 %,,
Guilherand-Granges,65 %,35 %,,
Andernos-les-Bains,65 %,35 %,,
Vedène,66 %,34 %,,
Bonson,100 %,,,
Courrières,67 %,33 %,,
Annecy-le-Vieux,58 %,31 %,11 %,
Six-Fours-les-Plages,48 %,37 %,11 %,4 %
Veauche,60 %,40 %,,
Leucate,55 %,45 %,,
Méry-sur-Oise,60 %,40 %,,
Garéoult,100 %,,,
Fontaine-lès-Dijon,100 %,,,
Le Relecq-Kerhuon,67 %,33 %,,
Saint-Rémy-lès-Chevreuse,100 %,,,
Figeac,61 %,39 %,,
Allauch,51 %,37 %,12 %,
Saint-Cyprien,56 %,34 %,10 %,
Roquebrune-sur-Argens,64 %,36 %,,
Noisy-le-Sec,63 %,26 %,11 %,
Chemillé-Melay,68 %,32 %,,
Ploërmel,67 %,33 %,,
Feytiat,100 %,,,
Fouesnant,100 %,,,
Le Mée-sur-Seine,67 %,33 %,,
Saint-Marcel,100 %,,,
Trets,61 %,39 %,,
Saint-Gély-du-Fesc,61 %,39 %,,
Saint-Jean-le-Blanc,57 %,43 %,,
Schiltigheim,50 %,37 %,13 %,
Tournon-sur-Rhône,64 %,36 %,,
Lure,67 %,33 %,,
Saint-Junien,66 %,34 %,,
Saujon,100 %,,,
Canet-en-Roussillon,60 %,40 %,,
Larmor-Plage,58 %,42 %,,
Saint-Egrève,56 %,34 %,10 %,
Téteghem,100 %,,,
Sauvian,100 %,,,
Sanary-sur-Mer,54 %,46 %,,
Septèmes-les-Vallons,100 %,,,
Andrésy,60 %,40 %,,
Saint-Just-Saint-Rambert,59 %,41 %,,
Vernouillet,67 %,33 %,,
Mûrs-Erigné,100 %,,,
Chécy,60 %,40 %,,
Entraigues-sur-la-Sorgue,100 %,,,
Chevigny-Saint-Sauveur,70 %,30 %,,
Roanne,58 %,30 %,12 %,
Montmorency,63 %,37 %,,
Domérat,54 %,46 %,,
Villemandeur,100 %,,,
Vidauban,100 %,,,
Basse-Goulaine,60 %,40 %,,
Bouc-Bel-Air,55 %,34 %,11 %,
Les Pennes-Mirabeau,49 %,34 %,10 %,7 %
Saint-Saulve,100 %,,,
Douarnenez,60 %,29 %,11 %,
Neuilly-Plaisance,58 %,31 %,11 %,
Albertville,64 %,36 %,,
Épinay-sur-Orge,59 %,41 %,,
Brunoy,55 %,31 %,14 %,
Guipavas,66 %,34 %,,
Ploufragan,67 %,33 %,,
Chatou,54 %,34 %,12 %,
Jouy-le-Moutier,68 %,32 %,,
Plérin,63 %,37 %,,
Paimpol,100 %,,,
Bolbec,100 %,,,
Dinard,100 %,,,
Dourdan,61 %,39 %,,
Chantonnay,51 %,49 %,,
Élancourt,57 %,30 %,13 %,
Saint-Avertin,63 %,37 %,,
Seynod,64 %,36 %,,
Monistrol-sur-Loire,57 %,43 %,,
Cranves-Sales,58 %,42 %,,
Douchy-les-Mines,100 %,,,
Villeneuve-le-Roi,71 %,29 %,,
Pont-l'Abbé,100 %,,,
Vierzon,67 %,33 %,,
Livron-sur-Drôme,61 %,39 %,,
Montbonnot-Saint-Martin,100 %,,,
Vénéjan,,,,
Bouloire,,,,
Le Soler,,,,
Teyran,,,,
Ussac,,,,
Digoin,,,,
Ganges,,,,
Saint-Amand-Montrond,,,,
Talant,,,,
Agneaux,,,,
Saint-Vrain,,,,
Saint-Gervais-les-Bains,,,,
Le Puy-Sainte-Réparade,,,,
Saint-Jean,,,,
Moëlan-sur-Mer,,,,
Algrange,,,,
