Catégorie : Toutes catégories

Semaine,le covid: (France),la covid: (France)
2020-01-26,0,0
2020-02-02,0,0
2020-02-09,< 1,< 1
2020-02-16,< 1,< 1
2020-02-23,2,1
2020-03-01,4,3
2020-03-08,13,8
2020-03-15,41,25
2020-03-22,46,27
2020-03-29,42,25
2020-04-05,43,22
2020-04-12,43,22
2020-04-19,34,21
2020-04-26,39,24
2020-05-03,35,23
2020-05-10,34,24
2020-05-17,27,19
2020-05-24,22,18
2020-05-31,19,15
2020-06-07,18,13
2020-06-14,19,14
2020-06-21,18,14
2020-06-28,17,13
2020-07-05,18,13
2020-07-12,23,17
2020-07-19,24,21
2020-07-26,25,20
2020-08-02,21,17
2020-08-09,23,18
2020-08-16,27,21
2020-08-23,31,25
2020-08-30,31,22
2020-09-06,41,31
2020-09-13,40,28
2020-09-20,36,28
2020-09-27,31,23
2020-10-04,33,24
2020-10-11,45,32
2020-10-18,55,39
2020-10-25,82,49
2020-11-01,62,41
2020-11-08,51,33
2020-11-15,37,25
2020-11-22,34,26
2020-11-29,28,20
2020-12-06,32,22
2020-12-13,38,25
2020-12-20,37,25
2020-12-27,37,24
2021-01-03,43,29
2021-01-10,55,42
2021-01-17,50,36
2021-01-24,47,33
2021-01-31,44,33
2021-02-07,38,28
2021-02-14,35,29
2021-02-21,41,32
2021-02-28,41,30
2021-03-07,39,29
2021-03-14,47,32
2021-03-21,59,39
2021-03-28,65,44
2021-04-04,55,34
2021-04-11,56,37
2021-04-18,47,33
2021-04-25,45,30
2021-05-02,44,30
2021-05-09,46,33
2021-05-16,43,28
2021-05-23,36,24
2021-05-30,36,27
2021-06-06,30,22
2021-06-13,27,20
2021-06-20,23,18
2021-06-27,27,21
2021-07-04,34,24
2021-07-11,89,56
2021-07-18,74,47
2021-07-25,60,40
2021-08-01,54,37
2021-08-08,53,34
2021-08-15,41,27
2021-08-22,34,22
2021-08-29,29,18
2021-09-05,23,15
2021-09-12,20,14
2021-09-19,17,12
2021-09-26,17,12
2021-10-03,15,11
2021-10-10,15,10
2021-10-17,15,11
2021-10-24,16,11
2021-10-31,17,12
